"Source:","C:\Users\OurDesktop\Documents\ECATCH\kicad\catalarm6\catalarm6.kicad_sch"
"Date:","2/12/2024 9:56:07 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","74"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C6, C8, C10, C11, C12, C14, C15","9","100nF","root_1_100nF","Capacitor_SMD:C_0402_1005Metric","","",""
"C3","1","4.7uF","root_1_4.7uF","Capacitor_SMD:C_0402_1005Metric","","",""
"C4, C9, C13, C16","4","10uF","root_1_4.7uF","Capacitor_SMD:C_0402_1005Metric","","",""
"C5, C7","2","1nF","Capacitor_NP","Capacitor_SMD:C_0402_1005Metric","Unpolarized Capacitor","",""
"CON1, CON3, CON4, CON5, CON6","5","JST_04","JST_04","Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","JST Connector  4 pins ","",""
"D1","1","SS14","D_Shockley","Diode_SMD:D_SMA","Shockley (PNPN) diode","",""
"D4, D5, D6","3","onsemi ESD9B3.3ST5G ","ESD5Zxx","Diode_SMD:D_SOD-923","ESD Protection Diode, SOD-523","",""
"D_out2, D_out3","2","D_Schottky","D_Schottky","Diode_SMD:D_SOD-323","Schottky diode","",""
"F1, F2","2"," JK-nSMD030/16V","Fuse","Fuse:Fuse_1206_3216Metric","Fuse","",""
"FB1, FB2, FB3","3","FerriteBead_Small","FerriteBead_Small","Inductor_SMD:L_0402_1005Metric","Ferrite bead, small symbol","",""
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8","8","LED","LED","LED_SMD:LED_0603_1608Metric","Light emitting diode","",""
"LS1","1","PS-953Q","PS-953Q","SamacSys_Parts:PS953Q","Piezo Buzzers & Audio Indicators SIREN, 5-15VDC 105DB, PC PINS","",""
"Q1, Q4, Q6","3","IRLML6244","IRLML6244","Package_TO_SOT_SMD:SOT-23","6.3A Id, 20V Vds, 21mOhm Rds, N-Channel StrongIRFET Power MOSFET, SOT-23","",""
"R1, R2, R3, R5, R8, R16, R23, R25","8","10k","R","Resistor_SMD:R_0402_1005Metric","Resistor","",""
"R4, R7, R10, R11, R12, R13, R14, R15, R17, R18, R19, R20, R21, R22","14","4.7k","root_1_4.7kÎ©","Resistor_SMD:R_0402_1005Metric","","",""
"R6, R9, R24","3","10","R","Resistor_SMD:R_0402_1005Metric","Resistor","",""
"U1","1","HT7533-3 -1-SOT89 ","HT75xx-1-SOT89","Package_TO_SOT_SMD:SOT-89-3","100mA Low Dropout Voltage Regulator, Fixed Output, SOT89","",""
"U2","1","STM32G030K8Tx","STM32G030K8Tx","Package_QFP:LQFP-32_7x7mm_P0.8mm","STMicroelectronics Arm Cortex-M0+ MCU, 64KB flash, 8KB RAM, 64 MHz, 2.0-3.6V, 29 GPIO, LQFP32","",""
"U3, U4, U5","3","LIS2DW12TR","LIS2DE12","Package_LGA:LGA-12_2x2mm_P0.5mm","3-Axis Accelerometer, 2/4/8/16g range, I2C/SPI interface","",""
