Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,LCSC Part Number,Manufacturer_Part_Number,NAMEALIAS,SPICEPRE,SPICESYMBOLNAME,Digikey Part Number,Height,Manufacturer_Name,Mouser Part Number,Mouser Price/Stock,RESISTANCE (OHMS)
1,Unpolarized Capacitor,Capacitor_NP,C5 C7,1nF,C_0402_1005Metric,2,,C696907,TCC0402X7R102M500AT,,,,,,,,,
2,,root_1_100nF,C1 C6 C8 C10 C11 C12 C14 C15,100nF,C_0402_1005Metric,8,,C392963,TCC0402X7R104K160AT,Value,C,0603B104K500NT,,,,,,
3,,root_2_100nf,C2,100nF,C_0402_1005Metric,1,,C392963,TCC0402X7R104K160AT,Value(F),C,C_0603_US,,,,,,
4,,root_1_4.7uF,C3,4.7uF,C_0402_1005Metric,1,,C307423,CL05A475MQ5NRNC,Value(F),C,C_0603_US,,,,,,
5,,root_1_4.7uF,C4 C9 C13 C16,10uF,C_0402_1005Metric,4,,C15525,CL05A106MQ5NUNC,Value(F),C,C_0603_US,,,,,,
6,JST Connector  4 pins ,JST_04,CON1 CON3 CON4 CON5 CON6,JST_04,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,5,,C157925,S4B-XH-A(LF)(SN),,,,455-2243-ND,,,,,
7,Schottky diode,D_Schottky,D_out2 D_out3,D_Schottky,D_SOD-323,2,~,C150185,"1SS367,H3F",,,,,,,,,
8,Shockley (PNPN) diode,D_Shockley,D1,SS14,D_SMA,1,~,C2480,SS14,,,,,,,,,
9,"ESD Protection Diode, SOD-523",ESD5Zxx,D4 D5 D6,onsemi ESD9B3.3ST5G ,D_SOD-923,3,https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf,C96512,onsemi ESD9B3.3ST5G,,,,,,,,,
10,Fuse,Fuse,F1 F2, JK-nSMD030/16V,Fuse_1206_3216Metric,2,~,C2830239,JK-nSMD030/16V,,,,,,,,,
11,"Ferrite bead, small symbol",FerriteBead_Small,FB1 FB2 FB3,FerriteBead_Small,L_0402_1005Metric,3,~,C316267,CB1005-600(f),,,,,,,,,
12,Light emitting diode,LED,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8,LED,LED_0603_1608Metric,8,~,C965799,XL-1608SURC-06,,,,,,,,,
13,"Piezo Buzzers & Audio Indicators SIREN, 5-15VDC 105DB, PC PINS",PS-953Q,LS1,PS-953Q,PS953Q,1,https://componentsearchengine.com/Datasheets/1/PS-953Q.pdf,C6737823,PS-953Q,,,,,33.2,Mallory Sonalert,539-PS-953Q,https://www.mouser.com/Search/Refine.aspx?Keyword=539-PS-953Q,
14,"6.3A Id, 20V Vds, 21mOhm Rds, N-Channel StrongIRFET Power MOSFET, SOT-23",IRLML6244,Q1 Q4 Q6,IRLML6244,SOT-23,3,https://www.infineon.com/dgdl/Infineon-IRLML6244-DataSheet-v01_01-EN.pdf?fileId=5546d462533600a4015356686fed261f,C143946,IRLML6244,,,,,,,,,
15,Resistor,R,R6 R9 R24,10,R_0402_1005Metric,3,~,C102753,RTT02100JTH,,,,,,,,,
16,,root_3_4.7k立,R4 R10 R12 R19 R21,4.7k,R_0402_1005Metric,5,,C2906941,FRC0402J472 TS,Resistance,R,0603WAF4701T5E,,,,,,4.7K
17,,root_1_4.7k立,R7 R11 R13 R20 R22,4.7k,R_0402_1005Metric,5,,C2906941,FRC0402J472 TS,Resistance,R,0603WAF4701T5E,,,,,,4.7K
18,,root_1_1k,R14 R15 R17 R18,4.7k,R_0402_1005Metric,4,,C2906941,FRC0402J472 TS,Value(立),R,Resistor,,,,,,
19,,root_1_1k,R1 R2 R3,10k,R_0402_1005Metric,3,,C2906885,FRC0402J103 TS,Value(立),R,Resistor,,,,,,
20,Resistor,R,R5 R8 R16 R23 R25,10k,R_0402_1005Metric,5,~,C2906885,FRC0402J103 TS,,,,,,,,,
21,"100mA Low Dropout Voltage Regulator, Fixed Output, SOT89",HT75xx-1-SOT89,U1,HT7533-3 -1-SOT89 ,SOT-89-3,1,https://www.holtek.com/documents/10179/116711/HT75xx-1v250.pdf,C7470656,HT7533-3,,,,,,,,,
22,"3-Axis Accelerometer, 2/4/8/16g range, I2C/SPI interface",LIS2DE12,U3 U4 U5,LIS2DW12TR,LGA-12_2x2mm_P0.5mm,3,https://www.st.com/resource/en/datasheet/lis2DE12.pdf,C189624,LIS2DW12TR,,,,,,,,,
23,"STMicroelectronics Arm Cortex-M0+ MCU, 64KB flash, 8KB RAM, 64 MHz, 2.0-3.6V, 29 GPIO, LQFP32",STM32G030K8Tx,U2,STM32G030K8Tx,LQFP-32_7x7mm_P0.8mm,1,https://www.st.com/resource/en/datasheet/stm32g030k8.pdf,C431631,STM32G030K8T6,,,,497-19770-ND,,,,,





Component Groups:,23
Component Count:,74
Fitted Components:,74
Number of PCBs:,1
Total components:,74
Schematic Version:,
Schematic Date:,
PCB Variant:,default
BoM Date:,2/12/2024 10:06:49 PM
Schematic Source:,catalarm6.kicad_sch
KiCad Version:,Eeschema 7.0.8
